,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(8,)",[0.66874646],0.6687464553291674,"('8',)",,0.0,
2,"(8, 217)",[0.71235219],0.7123521914611056,"('8', '217')",,0.0,
3,"(8, 17, 217)",[0.73696174],0.7369617402200204,"('8', '17', '217')",,0.0,
4,"(8, 17, 217, 218)",[0.75446539],0.7544653941986176,"('8', '17', '217', '218')",,0.0,
5,"(8, 17, 89, 217, 218)",[0.76101799],0.7610179869344056,"('8', '17', '89', '217', '218')",,0.0,
6,"(8, 17, 89, 181, 217, 218)",[0.77152712],0.7715271192795553,"('8', '17', '89', '181', '217', '218')",,0.0,
7,"(8, 17, 89, 179, 181, 217, 218)",[0.77664346],0.776643460494868,"('8', '17', '89', '179', '181', '217', '218')",,0.0,
8,"(8, 17, 81, 89, 179, 181, 217, 218)",[0.77909443],0.7790944339073501,"('8', '17', '81', '89', '179', '181', '217', '218')",,0.0,
9,"(8, 17, 81, 89, 162, 179, 181, 217, 218)",[0.77938766],0.7793876610228297,"('8', '17', '81', '89', '162', '179', '181', '217', '218')",,0.0,
10,"(8, 17, 59, 81, 89, 162, 179, 181, 217, 218)",[0.7805685],0.7805684991152875,"('8', '17', '59', '81', '89', '162', '179', '181', '217', '218')",,0.0,
11,"(8, 17, 59, 81, 89, 162, 179, 180, 181, 217, 218)",[0.78224697],0.7822469696580286,"('8', '17', '59', '81', '89', '162', '179', '180', '181', '217', '218')",,0.0,
12,"(8, 17, 32, 59, 81, 89, 162, 179, 180, 181, 217, 218)",[0.78443004],0.7844300404598528,"('8', '17', '32', '59', '81', '89', '162', '179', '180', '181', '217', '218')",,0.0,
13,"(8, 17, 32, 59, 81, 89, 162, 179, 180, 181, 205, 217, 218)",[0.78784072],0.7878407197983067,"('8', '17', '32', '59', '81', '89', '162', '179', '180', '181', '205', '217', '218')",,0.0,
14,"(8, 17, 32, 59, 81, 88, 89, 162, 179, 180, 181, 205, 217, 218)",[0.79004937],0.7900493702254229,"('8', '17', '32', '59', '81', '88', '89', '162', '179', '180', '181', '205', '217', '218')",,0.0,
15,"(8, 17, 32, 59, 81, 88, 89, 156, 162, 179, 180, 181, 205, 217, 218)",[0.79279328],0.7927932781158099,"('8', '17', '32', '59', '81', '88', '89', '156', '162', '179', '180', '181', '205', '217', '218')",,0.0,
16,"(8, 17, 32, 59, 81, 88, 89, 156, 162, 179, 180, 181, 205, 209, 217, 218)",[0.80071352],0.8007135240247178,"('8', '17', '32', '59', '81', '88', '89', '156', '162', '179', '180', '181', '205', '209', '217', '218')",,0.0,
17,"(8, 17, 32, 59, 81, 88, 89, 156, 162, 176, 179, 180, 181, 205, 209, 217, 218)",[0.80233383],0.8023338275368236,"('8', '17', '32', '59', '81', '88', '89', '156', '162', '176', '179', '180', '181', '205', '209', '217', '218')",,0.0,
18,"(8, 17, 32, 59, 81, 88, 89, 156, 162, 176, 179, 180, 181, 190, 205, 209, 217, 218)",[0.80045831],0.8004583145001413,"('8', '17', '32', '59', '81', '88', '89', '156', '162', '176', '179', '180', '181', '190', '205', '209', '217', '218')",,0.0,
19,"(8, 17, 32, 59, 81, 88, 89, 147, 156, 162, 176, 179, 180, 181, 190, 205, 209, 217, 218)",[0.80602202],0.8060220190389168,"('8', '17', '32', '59', '81', '88', '89', '147', '156', '162', '176', '179', '180', '181', '190', '205', '209', '217', '218')",,0.0,
20,"(8, 17, 32, 59, 81, 88, 89, 136, 147, 156, 162, 176, 179, 180, 181, 190, 205, 209, 217, 218)",[0.80554611],0.8055461080808769,"('8', '17', '32', '59', '81', '88', '89', '136', '147', '156', '162', '176', '179', '180', '181', '190', '205', '209', '217', '218')",,0.0,
