,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(181,)",[0.65444559],0.6544455896909979,"('181',)",,0.0,
2,"(94, 181)",[0.70685521],0.7068552062647419,"('94', '181')",,0.0,
3,"(1, 94, 181)",[0.72941895],0.7294189452460245,"('1', '94', '181')",,0.0,
4,"(1, 94, 174, 181)",[0.74740227],0.7474022655131923,"('1', '94', '174', '181')",,0.0,
5,"(1, 94, 174, 181, 217)",[0.76662565],0.7666256520718359,"('1', '94', '174', '181', '217')",,0.0,
6,"(1, 94, 174, 181, 217, 219)",[0.76999888],0.7699988800447916,"('1', '94', '174', '181', '217', '219')",,0.0,
7,"(1, 94, 174, 181, 217, 218, 219)",[0.77627959],0.7762795939616004,"('1', '94', '174', '181', '217', '218', '219')",,0.0,
8,"(1, 94, 174, 181, 209, 217, 218, 219)",[0.78256943],0.7825694267867712,"('1', '94', '174', '181', '209', '217', '218', '219')",,0.0,
9,"(1, 32, 94, 174, 181, 209, 217, 218, 219)",[0.78501414],0.7850141430383277,"('1', '32', '94', '174', '181', '209', '217', '218', '219')",,0.0,
10,"(1, 32, 94, 151, 174, 181, 209, 217, 218, 219)",[0.78682214],0.7868221409405688,"('1', '32', '94', '151', '174', '181', '209', '217', '218', '219')",,0.0,
11,"(1, 19, 32, 94, 151, 174, 181, 209, 217, 218, 219)",[0.78729347],0.7872934728149291,"('1', '19', '32', '94', '151', '174', '181', '209', '217', '218', '219')",,0.0,
12,"(1, 19, 32, 94, 120, 151, 174, 181, 209, 217, 218, 219)",[0.78951112],0.7895111161740768,"('1', '19', '32', '94', '120', '151', '174', '181', '209', '217', '218', '219')",,0.0,
13,"(1, 19, 32, 94, 120, 151, 174, 181, 205, 209, 217, 218, 219)",[0.79077284],0.7907728432402185,"('1', '19', '32', '94', '120', '151', '174', '181', '205', '209', '217', '218', '219')",,0.0,
14,"(1, 19, 32, 94, 120, 151, 174, 181, 194, 205, 209, 217, 218, 219)",[0.79423275],0.7942327501878794,"('1', '19', '32', '94', '120', '151', '174', '181', '194', '205', '209', '217', '218', '219')",,0.0,
15,"(1, 19, 32, 94, 120, 124, 151, 174, 181, 194, 205, 209, 217, 218, 219)",[0.79461876],0.7946187557598626,"('1', '19', '32', '94', '120', '124', '151', '174', '181', '194', '205', '209', '217', '218', '219')",,0.0,
16,"(1, 19, 32, 94, 120, 124, 151, 159, 174, 181, 194, 205, 209, 217, 218, 219)",[0.79694706],0.7969470578074488,"('1', '19', '32', '94', '120', '124', '151', '159', '174', '181', '194', '205', '209', '217', '218', '219')",,0.0,
17,"(1, 19, 32, 94, 120, 124, 133, 151, 159, 174, 181, 194, 205, 209, 217, 218, 219)",[0.79713238],0.7971323823900583,"('1', '19', '32', '94', '120', '124', '133', '151', '159', '174', '181', '194', '205', '209', '217', '218', '219')",,0.0,
18,"(1, 19, 32, 94, 120, 124, 133, 151, 159, 174, 176, 181, 194, 205, 209, 217, 218, 219)",[0.79977746],0.7997774579180118,"('1', '19', '32', '94', '120', '124', '133', '151', '159', '174', '176', '181', '194', '205', '209', '217', '218', '219')",,0.0,
19,"(1, 19, 32, 94, 120, 124, 133, 151, 159, 162, 174, 176, 181, 194, 205, 209, 217, 218, 219)",[0.79871118],0.7987111806034329,"('1', '19', '32', '94', '120', '124', '133', '151', '159', '162', '174', '176', '181', '194', '205', '209', '217', '218', '219')",,0.0,
20,"(1, 19, 32, 94, 120, 124, 133, 151, 159, 162, 174, 176, 181, 194, 205, 209, 210, 217, 218, 219)",[0.79877301],0.7987730079210156,"('1', '19', '32', '94', '120', '124', '133', '151', '159', '162', '174', '176', '181', '194', '205', '209', '210', '217', '218', '219')",,0.0,
